Ad,name,anothername,parentPac,level,pac,dpac
110118103000,十里堡镇,十里堡,110118000000,5,110118103000,110118103000
110118104000,河南寨镇,河南寨,110118000000,5,110118104000,110118104000
110118105000,巨各庄镇,巨各庄,110118000000,5,110118105000,110118105000
110118106000,穆家峪镇,穆家峪,110118000000,5,110118106000,110118106000
110118107000,太师屯镇,太师屯,110118000000,5,110118107000,110118107000
110118108000,高岭镇,高岭,110118000000,5,110118108000,110118108000
110118109000,不老屯镇,不老屯,110118000000,5,110118109000,110118109000
110118110000,冯家峪镇,冯家峪,110118000000,5,110118110000,110118110000
110118111000,古北口镇,古北口,110118000000,5,110118111000,110118111000
110118112000,大城子镇,大城子,110118000000,5,110118112000,110118112000
110118113000,东邵渠镇,东邵渠,110118000000,5,110118113000,110118113000
110118114000,北庄镇,北庄,110118000000,5,110118114000,110118114000
110118115000,新城子镇,新城子,110118000000,5,110118115000,110118115000
110118116000,石城镇,石城,110118000000,5,110118116000,110118116000
110118400000,中关村科技园区密云园,中关村密云园,110118000000,5,110118400000,110118400000
110119001000,百泉街道,百泉,110119000000,5,110119001000,110119001000
110119002000,香水园街道,香水园,110119000000,5,110119002000,110119002000
110119003000,儒林街道,儒林,110119000000,5,110119003000,110119003000
110119100000,延庆镇,延庆,110119000000,5,110119100000,110119100000
110119101000,康庄镇,康庄,110119000000,5,110119101000,110119101000
110119102000,八达岭镇,八达岭,110119000000,5,110119102000,110119102000
110119103000,永宁镇,永宁,110119000000,5,110119103000,110119103000
110119104000,旧县镇,旧县,110119000000,5,110119104000,110119104000
110119105000,张山营镇,张山营,110119000000,5,110119105000,110119105000
110119106000,四海镇,四海,110119000000,5,110119106000,110119106000
110119107000,千家店镇,千家店,110119000000,5,110119107000,110119107000
110119108000,沈家营镇,沈家营,110119000000,5,110119108000,110119108000
110119109000,大榆树镇,大榆树,110119000000,5,110119109000,110119109000
110119110000,井庄镇,井庄,110119000000,5,110119110000,110119110000
110119200000,大庄科乡,大庄科,110119000000,5,110119200000,110119200000
110119201000,刘斌堡乡,刘斌堡,110119000000,5,110119201000,110119201000
110119202000,香营乡,香营,110119000000,5,110119202000,110119202000
110119203000,珍珠泉乡,珍珠泉,110119000000,5,110119203000,110119203000
120101001000,劝业场街道,劝业场,120101000000,5,120101001000,120101001000
120101002000,小白楼街道,小白楼,120101000000,5,120101002000,120101002000
120101003000,五大道街道,五大道,120101000000,5,120101003000,120101003000
120101004000,新兴街道,新兴,120101000000,5,120101004000,120101004000
120101005000,南营门街道,南营门,120101000000,5,120101005000,120101005000
120101006000,南市街道,南市,120101000000,5,120101006000,120101006000
120102001000,大王庄街道,大王庄,120102000000,5,120102001000,120102001000
120102002000,大直沽街道,大直沽,120102000000,5,120102002000,120102002000
120102003000,中山门街道,中山门,120102000000,5,120102003000,120102003000
120102004000,富民路街道,富民路,120102000000,5,120102004000,120102004000
120102005000,二号桥街道,二号桥,120102000000,5,120102005000,120102005000
120102006000,春华街道,春华,120102000000,5,120102006000,120102006000
120102007000,唐家口街道,唐家口,120102000000,5,120102007000,120102007000
120102008000,向阳楼街道,向阳楼,120102000000,5,120102008000,120102008000
120102009000,常州道街道,常州道,120102000000,5,120102009000,120102009000
120102010000,上杭路街道,上杭路,120102000000,5,120102010000,120102010000
120102011000,东新街道,东新,120102000000,5,120102011000,120102011000
120102012000,鲁山道街道,鲁山道,120102000000,5,120102012000,120102012000
120102013000,天津铁厂街道,天津铁厂,120102000000,5,120102013000,120102013000
120103001000,大营门街道,大营门,120103000000,5,120103001000,120103001000
120103002000,下瓦房街道,下瓦房,120103000000,5,120103002000,120103002000
120103003000,桃园街道,桃园,120103000000,5,120103003000,120103003000
120103004000,挂甲寺街道,挂甲寺,120103000000,5,120103004000,120103004000
120103005000,马场街道,马场,120103000000,5,120103005000,120103005000
120103006000,越秀路街道,越秀路,120103000000,5,120103006000,120103006000
120103007000,友谊路街道,友谊路,120103000000,5,120103007000,120103007000
120103008000,天塔街道,天塔,120103000000,5,120103008000,120103008000
120103009000,尖山街道,尖山,120103000000,5,120103009000,120103009000
120103010000,陈塘庄街道,陈塘庄,120103000000,5,120103010000,120103010000
120103011000,柳林街道,柳林,120103000000,5,120103011000,120103011000
120103012000,东海街道,东海,120103000000,5,120103012000,120103012000
120103013000,梅江街道,梅江,120103000000,5,120103013000,120103013000
120103014000,太湖路街道,太湖路,120103000000,5,120103014000,120103014000
120104001000,长虹街道,长虹,120104000000,5,120104001000,120104001000
120104002000,鼓楼街道,鼓楼,120104000000,5,120104002000,120104002000
120104003000,兴南街道,兴南,120104000000,5,120104003000,120104003000
120104004000,广开街道,广开,120104000000,5,120104004000,120104004000
120104005000,万兴街道,万兴,120104000000,5,120104005000,120104005000
120104006000,学府街道,学府,120104000000,5,120104006000,120104006000
120104007000,向阳路街道,向阳路,120104000000,5,120104007000,120104007000
120104008000,嘉陵道街道,嘉陵道,120104000000,5,120104008000,120104008000
120104009000,王顶堤街道,王顶堤,120104000000,5,120104009000,120104009000
120104010000,水上公园街道,水上公园,120104000000,5,120104010000,120104010000
120104011000,体育中心街道,体育中心,120104000000,5,120104011000,120104011000
120104012000,华苑街道,华苑,120104000000,5,120104012000,120104012000
120105001000,光复道街道,光复道,120105000000,5,120105001000,120105001000
120105002000,望海楼街道,望海楼,120105000000,5,120105002000,120105002000
120105003000,鸿顺里街道,鸿顺里,120105000000,5,120105003000,120105003000
120105004000,新开河街道,新开河,120105000000,5,120105004000,120105004000
120105005000,铁东路街道,铁东路,120105000000,5,120105005000,120105005000
120105006000,建昌道街道,建昌道,120105000000,5,120105006000,120105006000
120105007000,宁园街道,宁园,120105000000,5,120105007000,120105007000
120105008000,王串场街道,王串场,120105000000,5,120105008000,120105008000
120105009000,江都路街道,江都路,120105000000,5,120105009000,120105009000
120105010000,月牙河街道,月牙河,120105000000,5,120105010000,120105010000
120106001000,西于庄街道,西于庄,120106000000,5,120106001000,120106001000
120106003000,咸阳北路街道,咸阳北路,120106000000,5,120106003000,120106003000
120106004000,丁字沽街道,丁字沽,120106000000,5,120106004000,120106004000
120106005000,西沽街道,西沽,120106000000,5,120106005000,120106005000
120106006000,三条石街道,三条石,120106000000,5,120106006000,120106006000
120106008000,邵公庄街道,邵公庄,120106000000,5,120106008000,120106008000
120106009000,芥园街道,芥园,120106000000,5,120106009000,120106009000
120106010000,铃铛阁街道,铃铛阁,120106000000,5,120106010000,120106010000
120106012000,和苑街道,和苑,120106000000,5,120106012000,120106012000
120110001000,张贵庄街道,张贵庄,120110000000,5,120110001000,120110001000
120110002000,丰年村街道,丰年村,120110000000,5,120110002000,120110002000
120110003000,万新街道,万新,120110000000,5,120110003000,120110003000
120110004000,无瑕街道,无瑕,120110000000,5,120110004000,120110004000
120110005000,新立街道,新立,120110000000,5,120110005000,120110005000
